Occurrences,Word,LgSUBTLWF,OLD,PLD,I_Mean_RT,I_Zscore,I_Mean_Accuracy
1,pleasing,1.903,1.9,1.95,561.094,-0.583,0.94
1,pleasurable,1.591,3.7,3.25,604.5,-0.517,1
1,pleasure,3.615,2.65,1.95,598.353,-0.598,1
1,pledge,2.546,2.1,1.8,594.667,-0.759,1
1,plight,1.806,1.75,1.5,762.182,-0.016,0.69
1,plop,1.643,1.45,1.55,660.308,-0.399,0.79
1,plot,2.772,1.45,1.4,623.206,-0.706,1
1,ploy,1.898,1.7,1.9,769.357,-0.052,0.82
1,plumbing,2.394,2.55,1.85,651.586,-0.499,0.97
1,plummet,1.342,2.7,2.05,740.783,0.022,0.68
1,plunder,1.643,1.9,1.85,683.393,-0.293,0.9
1,plunge,2.061,1.8,2.2,698.545,-0.394,0.97
1,plural,1.699,2.6,2.6,753.531,-0.34,0.97
1,plush,1.462,1.7,1.55,667.655,-0.305,0.91
1,plywood,1.38,3.25,3.7,777.062,-0.095,0.94
1,pneumatic,1.362,3.35,2.6,842.538,0.369,0.79
1,pneumonia,2.412,3.95,3.65,796.531,0.054,0.97
1,poacher,1.431,2.3,1.9,771.793,-0.16,0.85
1,pocketbook,1.887,4.4,3.9,703.971,-0.312,0.97
1,pocketful,1.342,3.75,3.8,672.355,-0.222,0.94
1,poetic,2.14,2.3,2.65,661.875,-0.322,0.97
1,poetry,2.834,2.3,2.65,607.818,-0.714,1
1,poignant,1.431,3.05,2.85,710.619,0.053,0.64
1,point,4.082,1.75,1.8,556.121,-0.736,0.97
1,pointer,1.748,1.8,1.85,681.344,-0.356,0.97
1,pointless,2.265,2.8,2.85,624.176,-0.551,1
1,poise,1.756,1.75,1.5,717.258,-0.261,0.94
1,poisoning,2.481,3,2.7,693,-0.255,1
1,poisonous,2.233,3.6,2.75,887.448,0.216,0.97
1,polar,2.134,1.85,1.55,642.655,-0.531,0.91
1,police,4.081,1.85,1.9,564.917,-0.751,1
1,policeman,2.777,3.5,3.6,680.727,-0.479,1
1,policewoman,1.38,4.75,5.05,810,-0.074,1
1,policy,3.14,2.45,2.05,703.067,-0.364,0.97
1,polite,2.853,2,1.9,640.688,-0.504,0.97
1,political,3.048,2.65,3.1,628.848,-0.508,1
